"State","Constituency","Candidates__Name","Candidates__Party","Candidates__EVM Votes","Candidates__Postal Votes","Candidates__Total Votes","Candidates__% of Votes","Total EVM Votes","Total Postal Votes","Total Votes","Winning Candidate","Winning Party"
"","","V. J.  Laly","Kerala Congress","47997","1369","49366","39.94","","","","",""
"","","JOEMON JOSEPH SRAMPICKAL","Independent","138","19","157","0.13","","","","",""
"","","Tijo Karikkandam","Independent","1077","17","1094","0.89","","","","",""
"","","Babychen Mukkadan","Independent","134","2","136","0.11","","","","",""
"","","NOTA","None of the Above","430","4","434","0.35","","","","",""
"Kerala","Chathannur","B. B. GOPAKUMAR","Bharatiya Janata Party","41305","785","42090","30.61","133823","3680","137503","G.S. JAYALAL","Communist Party of India"
"","","G.S. JAYALAL","Communist Party of India","57529","1767","59296","43.12","","","","",""
"","","N. PEETHAMBARAKURUP","Indian National Congress","33206","1074","34280","24.93","","","","",""
"","","SUNU BHASKARAN","Bahujan Samaj Party","359","5","364","0.26","","","","",""
"","","SHANMUGHAN PARAVUR","Anna Democratic Human Rights Movement Party of India","518","6","524","0.38","","","","",""
"","","VARINJAM RAJEEV","Independent","122","13","135","0.1","","","","",""
"","","SETHU","Independent","168","4","172","0.13","","","","",""
"","","NOTA","None of the Above","616","26","642","0.47","","","","",""
"Kerala","Chavara","VIVEK GOPAN","Bharatiya Janata Party","13943","268","14211","9.95","138418","4462","142880","Dr.SUJITH VIJAYANPILLAI","Independent"
"","","SHIBU BABY JOHN","Revolutionary Socialist Party","60103","2083","62186","43.52","","","","",""
"","","JOHNSON KANDACHIRA","Independent","1209","14","1223","0.86","","","","",""
"","","VIJI RATHEESH","Independent","369","7","376","0.26","","","","",""
"","","Dr.SUJITH VIJAYANPILLAI","Independent","61220","2062","63282","44.29","","","","",""
"","","SUJITHMON","Independent","895","6","901","0.63","","","","",""
"","","NOTA","None of the Above","679","22","701","0.49","","","","",""
"Kerala","Chelakkara","K RADHAKRISHNAN","Communist Party of India  (Marxist)","81885","1530","83415","54.41","150570","2745","153315","K RADHAKRISHNAN","Communist Party of India  (Marxist)"
"","","C C SREEKUMAR","Indian National Congress","43150","865","44015","28.71","","","","",""
"","","SHAJUMON VATTEKKAD","Bharatiya Janata Party","23716","329","24045","15.68","","","","",""
"","","CHANDRAN THIYATH","SOCIAL DEMOCRATIC PARTY OF INDIA","1110","10","1120","0.73","","","","",""
"","","NOTA","None of the Above","709","11","720","0.47","","","","",""
"Kerala","Chengannur","M. V. GOPAKUMAR","Bharatiya Janata Party","33789","831","34620","23.52","142958","4213","147171","SAJI CHERIAN","Communist Party of India  (Marxist)"
"","","M. MURALI","Indian National Congress","38099","1310","39409","26.78","","","","",""
"","","SHAJI T. GEORGE","Bahujan Samaj Party","523","11","534","0.36","","","","",""
"","","SAJI CHERIAN","Communist Party of India  (Marxist)","69501","2001","71502","48.58","","","","",""
"","","T. K. GOPINATHAN","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","308","8","316","0.21","","","","",""
"","","MELVIN. K. MATHEW","Democratic Social Justice Party","190","8","198","0.13","","","","",""
"","","POULOSE","Independent","99","2","101","0.07","","","","",""
"","","NOTA","None of the Above","449","42","491","0.33","","","","",""
"Kerala","Cherthala","VAYALAR JAYAKUMAR","Bahujan Samaj Party","594","19","613","0.34","172214","5883","178097","P PRASAD","Communist Party of India"
"","","P PRASAD","Communist Party of India","80876","2826","83702","47","","","","",""
"","","ADV.S SARATH","Indian National Congress","74886","2668","77554","43.55","","","","",""
"","","ADV.P S JYOTHIS","Bharath Dharma Jana Sena","14254","308","14562","8.18","","","","",""
"","","KARTHIKEYAN","Independent","192","1","193","0.11","","","","",""
"","","SARATH S KANNATTUVELI","Independent","487","14","501","0.28","","","","",""
"","","SHAJAHAN V A","Independent","178","23","201","0.11","","","","",""
"","","ADV.SONNYMON K MATHEW","Independent","164","5","169","0.09","","","","",""
"","","NOTA","None of the Above","583","19","602","0.34","","","","",""
"Kerala","Chirayinkeezhu","Anil Mangalapuram","Bahujan Samaj Party","1077","20","1097","0.76","141273","3807","145080","V. Sasi","Communist Party of India"
"","","B. S. Anoop","Indian National Congress","47402","1215","48617","33.51","","","","",""
"","","Ashanath G. S","Bharatiya Janata Party","30369","617","30986","21.36","","","","",""
"","","V. Sasi","Communist Party of India","60701","1933","62634","43.17","","","","",""
"","","Advocate G. Anil Kumar","Welfare Party Of India","605","11","616","0.42","","","","",""
"","","Anoop Gangan","Independent","369","3","372","0.26","","","","",""
"","","NOTA","None of the Above","750","8","758","0.52","","","","",""
"Kerala","Chittur","K. KRISHNANKUTTY","Janata Dal  (Secular)","82816","1856","84672","55.38","149745","3160","152905","K. KRISHNANKUTTY","Janata Dal  (Secular)"
"","","A. CHANDRAN","Bahujan Samaj Party","907","11","918","0.6","","","","",""
"","","V. NATESAN","Bharatiya Janata Party","14257","201","14458","9.46","","","","",""
"","","Adv. SUMESH ACHUTHAN","Indian National Congress","49724","1070","50794","33.22","","","","",""
"","","PRAMEELA. K","Independent","542","10","552","0.36","","","","",""
"","","NSK PURAM SASIKUMAR","Independent","226","0","226","0.15","","","","",""
"","","NOTA","None of the Above","1273","12","1285","0.84","","","","",""
"Kerala","Devikulam","D. Kumar","Indian National Congress","50421","780","51201","44.22","114083","1691","115774","Adv. A. Raja","Communist Party of India  (Marxist)"
"","","Adv. A. Raja","Communist Party of India  (Marxist)","58183","866","59049","51","","","","",""
"","","Ganesan. S","Independent","4675","42","4717","4.07","","","","",""
"","","NOTA","None of the Above","804","3","807","0.7","","","","",""
"Kerala","Dharmadam","C. K. Padmanabhan","Bharatiya Janata Party","14352","271","14623","9.13","155212","5035","160247","Pinarayi Vijayan","Communist Party of India  (Marxist)"
"","","Pinarayi Vijayan","Communist Party of India  (Marxist)","92140","3382","95522","59.61","","","","",""
"","","C. Raghunathan","Indian National Congress","44089","1310","45399","28.33","","","","",""
"","","Basheer Kannadiparamba","SOCIAL DEMOCRATIC PARTY OF INDIA","2266","14","2280","1.42","","","","",""
"","","Chovva Raghunathan","Independent","136","1","137","0.09","","","","",""
"","","Valayar Bhagyavathi","Independent","1720","33","1753","1.09","","","","",""
"","","C. P. Maharoof","Independent","66","6","72","0.04","","","","",""
"","","Vadi Harindran","Independent","53","8","61","0.04","","","","",""
"","","NOTA","None of the Above","390","10","400","0.25","","","","",""
"Kerala","Elathur","T P Jayachandran Master","Bharatiya Janata Party","31056","954","32010","19.48","158703","5647","164350","A .K Saseendran","Nationalist Congress Party"
"","","A .K Saseendran","Nationalist Congress Party","80607","3032","83639","50.89","","","","",""
"","","TAHIR MOKKANDI","Welfare Party Of India","1911","89","2000","1.22","","","","",""
"","","RADHAKRISHNAN P K","Independent","548","32","580","0.35","","","","",""
"","","Sulphikar Mayoori","Independent","43621","1516","45137","27.46","","","","",""
"","","NOTA","None of the Above","960","24","984","0.6","","","","",""
"Kerala","Eranad","Adv. C. Dinesh","Bharatiya Janata Party","6509","174","6683","4.66","139609","3663","143272","P.K. Basheer","Indian Union Muslim League"
"","","P.K. Basheer","Indian Union Muslim League","75952","2124","78076","54.49","","","","",""
"","","Velayudhan","Bahujan Samaj Party","1227","20","1247","0.87","","","","",""
"","","K.T. Abdurahiman","Independent","54218","1312","55530","38.76","","","","",""
"","","Adv. Sebastian","Independent","1077","23","1100","0.77","","","","",""
"","","NOTA","None of the Above","626","10","636","0.44","","","","",""
"Kerala","Eranakulam","Padmaja S. Menon","Bharatiya Janata Party","15813","230","16043","14.57","108434","1664","110098","T. J. Vinod","Indian National Congress"
"","","T. J. Vinod","Indian National Congress","45066","864","45930","41.72","","","","",""
"","","Prof. Leslie Pallath","Twenty 20 Party","10550","84","10634","9.66","","","","",""
"","","K. S. Anilkumar","Independent","215","10","225","0.2","","","","",""
"","","Ashokan","Independent","173","3","176","0.16","","","","",""
"","","SHAJI GEORGE PRANATHA","Independent","34528","432","34960","31.75","","","","",""
"","","Shaji George Plakkil","Independent","290","15","305","0.28","","","","",""
"","","Siciliamma Teacher","Independent","70","1","71","0.06","","","","",""
"","","Sujith C. Sukumaran","Independent","1024","18","1042","0.95","","","","",""
"","","NOTA","None of the Above","705","7","712","0.65","","","","",""
"Kerala","Eravipuram","M. Noushad","Communist Party of India  (Marxist)","69793","1780","71573","56.25","124300","2941","127241","M. Noushad","Communist Party of India  (Marxist)"
"","","Babudivakaran","Revolutionary Socialist Party","42452","1000","43452","34.15","","","","",""
"","","Mohanan Mayyanad","Bahujan Samaj Party","535","8","543","0.43","","","","",""
"","","M. Unnikrishnan","Anna Democratic Human Rights Movement Party of India","424","6","430","0.34","","","","",""
"","","Renjith Ravindran","Bharath Dharma Jana Sena","8353","115","8468","6.66","","","","",""
"","","S. Sudhilal","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","205","8","213","0.17","","","","",""
"","","Ayathil Riyas","SOCIAL DEMOCRATIC PARTY OF INDIA","1441","3","1444","1.13","","","","",""
"","","N. Shihabudeen","Independent","183","4","187","0.15","","","","",""
"","","NOTA","None of the Above","914","17","931","0.73","","","","",""
"Kerala","Ettumanoor","Jijith K Joy","Bahujan Samaj Party","1135","30","1165","0.92","122493","3674","126167","V N Vasavan","Communist Party of India  (Marxist)"
"","","V N Vasavan","Communist Party of India  (Marxist)","56632","1657","58289","46.2","","","","",""
"","","T N HariKumar","Bharatiya Janata Party","13401","345","13746","10.9","","","","",""
"","","A G Ajayakumar","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","244","3","247","0.2","","","","",""
"","","Adv. Prince Lukose","Kerala Congress","42598","1388","43986","34.86","","","","",""
"","","Charley Thomas Panikkaridam","Independent","305","25","330","0.26","","","","",""
"","","Lathika Subhash","Independent","7410","214","7624","6.04","","","","",""
"","","NOTA","None of the Above","768","12","780","0.62","","","","",""
"Kerala","Guruvayoor","N.K.AKBAR","Communist Party of India  (Marxist)","76052","1020","77072","52.52","144729","2030","146759","N.K.AKBAR","Communist Party of India  (Marxist)"
"","","Adv.K N A KHADER","Indian Union Muslim League","57918","886","58804","40.07","","","","",""
"","","ASHARAF VADAKKOOT","SOCIAL DEMOCRATIC PARTY OF INDIA","2870","19","2889","1.97","","","","",""
"","","M.KUMAR","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","288","13","301","0.21","","","","",""
"","","DILEEP NAIR","Democratic Social Justice Party","6222","72","6294","4.29","","","","",""
"","","ANTONY","Independent","382","10","392","0.27","","","","",""
"","","NOTA","None of the Above","997","10","1007","0.69","","","","",""
"Kerala","Haripad","RAMESH CHENNITHALA","Indian National Congress","70056","2712","72768","48.31","145585","5038","150623","RAMESH CHENNITHALA","Indian National Congress"
"","","Adv. R. SAJILAL","Communist Party of India","57251","1851","59102","39.24","","","","",""
"","","K. SOMAN","Bharatiya Janata Party","17441","449","17890","11.88","","","","",""
"","","MADHU. T","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","194","10","204","0.14","","","","",""
"","","Adv. NIYAZ BHARATI","Independent","118","5","123","0.08","","","","",""
"","","NOTA","None of the Above","525","11","536","0.36","","","","",""
"Kerala","Idukki","BABU VARGHESE VATTOLI","Bahujan Samaj Party","1096","10","1106","0.84","128481","2870","131351","ROSHY AUGUSTINE","Kerala Congress  (M)"
"","","ROSHY AUGUSTINE","Kerala Congress  (M)","61033","1335","62368","47.48","","","","",""
"","","ADV. K FRANCIS GEORGE","Kerala Congress","55439","1356","56795","43.24","","","","",""
"","","ADV. SANGEETHA VISWANATHAN","Bharath Dharma Jana Sena","9148","138","9286","7.07","","","","",""
"","","BIJEESH THOMAS","Independent","604","6","610","0.46","","","","",""
"","","VINCENT JACOB","Independent","336","4","340","0.26","","","","",""
"","","SAJEEV","Independent","164","5","169","0.13","","","","",""
"","","NOTA","None of the Above","661","16","677","0.52","","","","",""
"Kerala","Irikkur","ANIAMMA TEACHER","Bharatiya Janata Party","7608","217","7825","5.13","147404","5112","152516","Adv. Sajeev Joseph","Indian National Congress"
"","","SAJI KUTTIYANIMATTAM","Kerala Congress  (M)","64467","2287","66754","43.77","","","","",""
"","","Adv. Sajeev Joseph","Indian National Congress","74194","2570","76764","50.33","","","","",""
"","","CHACKO KARIMBIL","Independent","295","16","311","0.2","","","","",""
"","","Joy John","Independent","123","5","128","0.08","","","","",""
"","","SAJAN KUTTIYANIKKAL","Independent","268","7","275","0.18","","","","",""
"","","NOTA","None of the Above","449","10","459","0.3","","","","",""
"Kerala","Irinjalakkuda","Jacob Thomas","Bharatiya Janata Party","33685","644","34329","22.12","151104","4075","155179","R Bindu","Communist Party of India  (Marxist)"
"","","R Bindu","Communist Party of India  (Marxist)","60843","1650","62493","40.27","","","","",""
"","","Thomas J Unniyadan","Kerala Congress","54851","1693","56544","36.44","","","","",""
"","","Joshy","Independent","292","13","305","0.2","","","","",""
"","","Bindu","Independent","206","14","220","0.14","","","","",""
"","","Bindu","Independent","141","21","162","0.1","","","","",""
"","","Vaxerin","Independent","503","33","536","0.35","","","","",""
"","","NOTA","None of the Above","583","7","590","0.38","","","","",""
"Kerala","Kaduthuruthy","Adv. Anju Mathew","Bahujan Samaj Party","1188","19","1207","0.92","127682","3729","131411","Adv. Mons Joseph","Kerala Congress"
"","","Ligin Lal","Bharatiya Janata Party","11419","251","11670","8.88","","","","",""
"","","Stephen George","Kerala Congress  (M)","53819","1591","55410","42.17","","","","",""
"","","Adv. Jaimon Thankachan","Samajwadi Jan Parishad","287","15","302","0.23","","","","",""
"","","Adv. Mons Joseph","Kerala Congress","57856","1810","59666","45.4","","","","",""
"","","Vinod K Jose","Independent","2386","39","2425","1.85","","","","",""
"","","NOTA","None of the Above","727","4","731","0.56","","","","",""
"Kerala","Kaipamangalam","E T TAISON MASTER","Communist Party of India","71666","1495","73161","53.76","133413","2670","136083","E T TAISON MASTER","Communist Party of India"
"","","THANKAMANY THARAYIL","Bahujan Samaj Party","434","8","442","0.32","","","","",""
"","","SOBHA SUBIN","Indian National Congress","49505","958","50463","37.08","","","","",""
"","","M K ASLAM","Welfare Party Of India","1630","41","1671","1.23","","","","",""
"","","C D SREELAL","Bharath Dharma Jana Sena","8913","153","9066","6.66","","","","",""
"","","M K SHAMEER","SOCIAL DEMOCRATIC PARTY OF INDIA","808","6","814","0.6","","","","",""
"","","NOTA","None of the Above","457","9","466","0.34","","","","",""
"Kerala","Kalamassery","ADV. V. E. ABDUL GAFOOR","Indian Union Muslim League","60829","976","61805","39.65","153259","2604","155863","P. RAJEEVE","Communist Party of India  (Marxist)"
"","","P. S. UNNIKRISHNAN","Bahujan Samaj Party","840","17","857","0.55","","","","",""
"","","P. RAJEEVE","Communist Party of India  (Marxist)","75757","1384","77141","49.49","","","","",""
"","","P. S. JAYARAJ","Bharath Dharma Jana Sena","11021","158","11179","7.17","","","","",""
"","","V. M. FAISAL","SOCIAL DEMOCRATIC PARTY OF INDIA","2372","13","2385","1.53","","","","",""
"","","NAYANA UNNIKRISHNAN","Independent","443","9","452","0.29","","","","",""
"","","P. M. K. BAVA","Independent","514","12","526","0.34","","","","",""
"","","NOTA","None of the Above","1483","35","1518","0.97","","","","",""
"Kerala","Kalliasseri","ARUN KAITHAPRAM","Bharatiya Janata Party","11135","230","11365","7.81","141284","4301","145585","M VIJIN","Communist Party of India  (Marxist)"
"","","ADV. BRIJESH KUMAR","Indian National Congress","42785","1074","43859","30.13","","","","",""
"","","M VIJIN","Communist Party of India  (Marxist)","85304","2948","88252","60.62","","","","",""
